"Installation elements service was added.","Monteringsservice er tilføjet til din kurv"
"New Installation request from %customerEmail on %storeName","New Installation request from %customerEmail on %storeName"
"Assembly","Montering"
"Disposal of construction waste","Bortskaffelse af byggeaffald"
"Living room qty","Stuen"
"High ground floor qty","Høj stueplan"
"First floor qty","1. sal"
"Hello %customer,","Hello %customer,"
"We received report about installation, please check attachment","We received report about installation, please check attachment"
"We received your request with the following data:","We received your request with the following data:"
"Thank you!","Thank you!"
"We will get in touch with you soon","We will get in touch with you soon"
"Calculate your installation price","Beregn din montagepris"
"Shall we help you install? Then you can calculate a total price below.","Skal vi hjælpe dig med at montere? Så kan du herunder beregne en samlet pris. Se prisliste her. Montagen inkludere: Afmontering af gamle vinduer, Montering af nye vinduer, Udvendig fuge (RAL9010 eller RAL9005)."
"See the price list here.","Se prislisten her."
"Living room","Stuen"
"High ground floor","Høj stueplan"
"First floor","1. sal"
Above,Eller derover
Strip,Hvid fladliste
Acrylic,Hvid acrylfuge
"Where should we install your %1 windows?","Hvor skal vi montere dine %1 vinduer?"
"<b>Disposal of construction waste</b> (Old windows/doors)","<b>Bortskaffelse af byggeaffald</b> (Gamle vinduer/døre)"
"<b>Internal finish</b> (white flat strip or acrylic joint)","<b>Indvendig afslutning</b> (hvid fladliste eller acrylfuge)"
"<b>Total price</b> (incl. VAT)","<b>Samlet pris</b> (inkl. moms)"
"Driving","Kørsel"
"Calculate installation price","Beregn montagepris"
"The number of items in the cart and for the installation product are different","Antallet af elementer i kurven og montering stemmer ikke overens."
"Assembly (%1 ps.)","Montering (%1 stk.)"
"High ground floor (%1 ps.)","Høj stueplan (%1 stk.)"
"First floor (%1 ps.)","1. sals tillæg (%1 stk.)"
"Disposal (%1 ps.)","Bortskaffelse (%1 stk.)"
"Internal finish (%1 ps.)","Indvendig afslutning (%1 stk.)"
"You are trying to add more items than there are in the cart","Du forsøger at tilføje flere varer, end der er i indkøbskurven"
"Installation Elements","Installation Elements"
General,General
"Is enable","Is enable"
"Email subscribers","Email subscribers"
"Standard price for installing windows and doors","Standard price for installing windows and doors"
"Window Product Prefix","Window Product Prefix"
"Door Product Prefix","Door Product Prefix"
"Window Square Price","Window Square Price"
"Door Square Price","Door Square Price"
"3 Layer glass","3 Layer glass"
"Optional when installing windows and doors","Optional when installing windows and doors"
"Construction Waste Disposal","Construction Waste Disposal"
"Internal Finish","Indvendig afslutning"
"Internal Finish (strip)","Indvendig afslutning (hvid fladliste)"
"Internal Finish (acrylic)","Indvendig afslutning (Acrylfuge)"
"Supplement for installation of windows and doors","Supplement for installation of windows and doors"
"Installation high ground floor (over 3 meters to top edge)","Installation high ground floor (over 3 meters to top edge)"
"Assembly 1st floor of alm. villa","Assembly 1st floor of alm. villa"
"Installation above the 1st floor or storey builder","Installation above the 1st floor or storey builder"
"Delete Installation Product","Delete Installation Product"
"Are you sure you want to delete the Installation product","Are you sure you want to delete the Installation product"
"Installation service","Professionel montering"
"I have read and accept the <a href=""%1"" target=""_blank"">Window Wholesaler Conditions </a> for Installation","Jeg har læst og godkender Vinduesgrossistens <a href=""%1"" target=""_blank"">betingelser for montering</a>"
"Conditions for installation are not approved.","Betingelser for montering er ikke godkendt."
"Inspection measurement","Kontrolopmåling"
"You are about to delete a measurement product. The related installation product will also be removed. Do you want to continue?","Du er ved at slette et måleprodukt. Det tilknyttede installationsprodukt vil også blive fjernet. Vil du fortsætte?"
"Delete Confirmation","Bekræft sletning"
"Delete Both Items","Slet begge varer"
"Cart item %1 was successfully removed","Varekurv vare %1 blev fjernet"
"Multiple items were successfully removed from your cart","Flere varer blev fjernet fra din indkøbskurv"
"Error performing request:","Fejl ved udførelse af anmodning:"
"Are you sure you would like to remove this item from the shopping cart?","Er du sikker på, at du vil fjerne denne vare fra indkøbskurven?"
"0 - 2.4m top","0 - 2,4m overkant"
"2.4 - 5.0m top","2,4 - 5,0m overkant"
"Higher than 5.0m","Højere end 5,0m"
"The measurements are from the ground to the top edge of the opening in the wall where the window/door should be installed.","Målene er fra jorden til den øverste kant af åbningen i muren, hvor vinduet/døren skal monteres."
"Calculate standard installation price","Beregn standard montagepris"
"Need help with installation? You can calculate a total price below.","Skal vi hjælpe dig med at montere? Så kan du herunder bregne en samlet pris."
"The installation includes:","Montagen inkluderer:"
"Control measurement","Kontrolopmåling"
"Removal of old windows","Udtagning af gamle vinduer"
"Installation of new elements","Montering af nye elementer"
"External sealing (RAL 9010, 9005, 7016)","Udvendig fuge (RAL 9010, 9005, 7016)"
"Please note that we cannot calculate the additional price for installation on the 1st floor until we have carried out a control measurement.","Vær opmærksom på, at vi ikke kan beregne tillægsprisen for montage på 1. sal, før vi har været ude og kontrolopmåle."
"Scaffold rental","Leje af stillads"
"- Performed at hourly rate + surcharge for any extra rental - 1st floor (%1 pcs.)","- Udføres på timepris + tillæg for evt. ekstra leje - 1. sal (%1 stk.)"
"- Supplement for scaffolding handling - High ground floor (%1 pcs.)","Tillæg for håndtering af stillads - Højt stueplan (%1 stk.)"
"First floor installation is not included in the price.","1. sals montering er ikke inkluderet i prisen"
