"Add Room","Tilføj rum"
"Save Measurement tool","Gem opmåling op min profil"
"Placering:","Placering:"
"Room name","Værelsesnavn"
"Add Element","Tilføj element"
"Window","Vindue"
"Door","Døre"
"Measurement Tools","Gemte opmålinger"
"Amount of elements","Antal elementer"
"View Measurement Tool","Vis opmåling"
"Build on your cart","Byg videre på din kurv"
"Add New Measurement tool","Lav ny opmåling"
"There are no saved measurement tools yet.","Der er endnu ingen gemte måleværktøjer."
"Measurement Tool with ID ""%1"" doesn't exist for the current customer.","Måleværktøj med ID ""%1"" findes ikke for den aktuelle kunde."
"No one room was set","Intet værelse var indstillet"
"Measurement Tool ""%1"" was created","Måleværktøj ""%1"" blev oprettet"
"Something went wrong while creating the Measurement Tool.","Noget gik galt under oprettelse af måleværktøjet."
"Remove measurement tool data","Fjern måleværktøjsdata"
"Delete image","Slet billede"
"All measurement tool elements will be removed","Alle måleværktøjselementer vil blive fjernet"
"Please add at least one valid row.","Tilføj mindst én gyldig række."
"Measurement Tool name","Gem opmåling"
"Measurement Tool elements were added.","Gemte opmålinger tilføjet til kurven."
"Note that you have measurements that are not adjusted. Press ""X"" if you want to adjust the remaining measurements before continuing to the curve.","Bemærk, at du har opmålinger, som ikke er tilpasset. Tryk på ""X"". hvis du ønsker at tilpasse de resterende opmålinger, inden du fortsætter til kurven."
"Customize your final measurements","Tilpas dine sidste opmålinger"
"Continue your purchase without final adjustments","Fortsæt dit køb uden de sidste tilpasninger"
"You have %1 measurement elements to customize","Du har %1 opmålinger at tilpasse"
"Delete Measurement Tool","Slet opmåling"
"Are you sure you want to delete this Measurement Tool?","Er du sikker på, at du vil slette dette opmåling?"
